post_id,text,title,sent_id
yen-bai_vne_2,"Bí_thư Tỉnh_uỷ Yên_Bái_Phạm_Duy_Cường được hàng_xóm nhận_xét là người giản_dị , hiền_lành , sống gần_gũi .",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,1
yen-bai_vne_2,"Ước_tính cả trăm   ôtô chở người đến chia buồn , đỗ hàng dài dọc hai bên phố",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,2
yen-bai_vne_2,"Căn nhà 3 tầng không đủ lớn để đón khách viếng , gia_đình phải mượn sân của hàng_xóm , dựng rạp , xếp bàn_ghế .",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,3
yen-bai_vne_2,"Sáng nay , Bộ_trưởng Công_an Tô_Lâm , Bộ_trưởng Lao_động thương_binh và xã_hội Đào_Ngọc_Dung , Bộ_trưởng Tài_chính Đinh_Tiến_Dũng cùng   nhiều đoàn khách từ trung_ương đã tới chia buồn với nỗi mất_mát quá lớn của gia_đình ông Cường .",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,4
yen-bai_vne_2,"Bà Phạm_Thị_Thanh_Trà , Chủ_tịch UBND tỉnh Yên_Bái , chủ_trì tang_lễ cho_hay Yên_Bái nén đau_buồn để lo hậu_sự cho Bí_thư Cường và Chủ_tịch HĐND tỉnh Ngô_Ngọc_Tuấn .",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,5
yen-bai_vne_2,"Nhiều người_dân xung_quanh cho_biết trước khi việc nổ_súng được công_bố vào chiều 18/8 , qua nhiều kênh thông_tin , họ ngỡ_ngàng và "" không tin "" ông Cường đã bị sát_hại",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,6
yen-bai_vne_2,"Trong khi nghi phạm nổ_súng là Chi_cục_trưởng Kiểm_lâm Đỗ_Cường_Minh sống cùng dãy phố , nhà cách nhau chưa đến 200m .",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,7
yen-bai_vne_2,"Bà hàng_xóm Nguyễn_Thị_Là cho_hay , gia_đình ông Cường sống chan_hoà , gần_gũi",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,8
yen-bai_vne_2,"Nguyễn_Văn_Mạnh , người bán trà đá gần nhà ông Cường nhận_xét Bí_thư Tỉnh_uỷ tính giản_dị , các con ngoan_ngoãn .",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,9
yen-bai_vne_2,"Với_Chủ tịch HĐND tỉnh Ngô_Ngọc_Tuấn , nhiều hàng_xóm nhận_xét là người hiền_lành , sống giản_dị , gần_gũi",Tình_cảm của hàng_xóm với Bí_thư Tỉnh_ủy Yên_Bái,10
